gid,config
65241,default
65242,default
65243,default
65244,default
65245,default
65246,default
65247,default
65248,default
65249,default
65250,default
65251,default
65252,default
65253,default
65254,default
65255,default
65256,default
65257,default
65258,default
65259,default
65260,default
65261,default
65262,default
65263,default
65264,default
65265,default
65266,default
65267,default
65268,default
65269,default
65270,default
65271,default
65272,default
65273,default
65274,default
65275,default
65276,default
65277,default
65278,default
65279,default
65280,default
65281,default
65282,default
65283,default
65284,default
65285,default
65286,default
65287,default
65288,default
65289,default
65290,default
65291,default
65292,default
65293,default
65294,default
65295,default
65296,default
65297,default
65298,default
65299,default
65300,default
65301,default
65302,default
65303,default
65304,default
65305,default
65306,default
65307,default
65308,default
65309,default
65310,default
65311,default
65312,default
65313,default
65314,default
65315,default
65316,default
65317,default
65318,default
65319,default
65320,default
65321,default
65322,default
65323,default
65324,default
65325,default
65326,default
65327,default
65328,default
65329,default
65330,default
65331,default
65332,default
65333,default
65334,default
65335,default
65336,default
65337,default
65338,default
65339,default
65340,default
65341,default
65342,default
65343,default
65344,default
65345,default
65346,default
65347,default
65348,default
65349,default
65350,default
65351,default
65352,default
65353,default
65354,default
65355,default
65356,default
65357,default
65358,default
65359,default
65360,default
65361,default
65362,default
65363,default
65364,default
65365,default
65366,default
65367,default
65473,default
65474,default
65475,default
65476,default
65477,default
65478,default
65479,default
65480,default
65481,default
65482,default
65483,default
65484,default
65485,default
65486,default
65487,default
65488,default
65489,default
65490,default
65491,default
65492,default
65493,default
65494,default
65495,default
65496,default
65497,default
65498,default
65499,default
65500,default
65501,default
65502,default
65503,default
65504,default
65505,default
65506,default
65507,default
65508,default
65509,default
65510,default
65511,default
65512,default
65513,default
65514,default
65515,default
65516,default
65517,default
65518,default
65519,default
65520,default
65521,default
65522,default
65523,default
65524,default
65525,default
65526,default
65527,default
65528,default
65529,default
65530,default
65531,default
65532,default
65533,default
65534,default
65535,default
65536,default
65537,default
65538,default
65539,default
65540,default
65541,default
65542,default
65543,default
65544,default
65545,default
65546,default
65547,default
65548,default
65549,default
65550,default
65551,default
65552,default
65553,default
65554,default
65555,default
65556,default
65557,default
65558,default
65559,default
65560,default
65561,default
65562,default
65563,default
65564,default
65565,default
65566,default
65567,default
65568,default
65569,default
65570,default
65571,default
65572,default
65573,default
65574,default
65575,default
65576,default
65577,default
65578,default
65579,default
65580,default
65581,default
65582,default
65583,default
65584,default
65585,default
65586,default
65587,default
65588,default
65589,default
65590,default
65591,default
65592,default
65593,default
65594,default
65595,default
65596,default
65597,default
65598,default
65599,default
65600,default
65601,default
65602,default
65603,default
65604,default
65605,default
65606,default
65607,default
65608,default
65609,default
65610,default
65611,default
65612,default
65613,default
65614,default
65615,default
65616,default
65617,default
65618,default
65619,default
65620,default
65621,default
65622,default
65623,default
65624,default
65625,default
65626,default
65627,default
65628,default
65629,default
65630,default
65631,default
65632,default
65633,default
65634,default
65635,default
65636,default
65637,default
65638,default
65639,default
65640,default
65641,default
65642,default
65643,default
65644,default
65645,default
65646,default
65647,default
65648,default
65649,default
65650,default
65651,default
65652,default
65653,default
65654,default
65655,default
65656,default
65657,default
65658,default
65659,default
65660,default
65661,default
65662,default
65663,default
65664,default
65665,default
65666,default
65667,default
65668,default
65669,default
65772,default
65773,default
65774,default
65775,default
65776,default
65777,default
65778,default
65779,default
65780,default
65781,default
65782,default
65783,default
65784,default
65785,default
65786,default
65787,default
65788,default
65789,default
65790,default
65791,default
65792,default
65793,default
65794,default
65795,default
65796,default
65797,default
65798,default
65799,default
65800,default
65801,default
65802,default
65803,default
65804,default
65805,default
65806,default
65807,default
65808,default
65809,default
65810,default
65811,default
65812,default
65813,default
65814,default
65815,default
65816,default
65817,default
65818,default
65819,default
65820,default
65821,default
65822,default
65823,default
65824,default
65825,default
65826,default
65827,default
65828,default
65829,default
65830,default
65831,default
65832,default
65833,default
65834,default
65835,default
65836,default
65837,default
65838,default
65839,default
65840,default
65841,default
65842,default
65843,default
65844,default
65845,default
65846,default
65847,default
65848,default
65849,default
65850,default
65851,default
65852,default
65853,default
65854,default
65855,default
65856,default
65857,default
65858,default
65859,default
65860,default
65861,default
65862,default
65863,default
65864,default
65865,default
65866,default
65867,default
65868,default
65869,default
65870,default
65871,default
65872,default
65873,default
65874,default
65875,default
65876,default
65877,default
65878,default
65879,default
65880,default
65881,default
65882,default
65883,default
65884,default
65885,default
65886,default
65887,default
65888,default
65889,default
65890,default
65891,default
65892,default
65893,default
65894,default
65895,default
65896,default
65897,default
65898,default
65899,default
65900,default
65901,default
65902,default
65903,default
65904,default
65905,default
65906,default
65907,default
65908,default
65909,default
65910,default
65911,default
65912,default
65913,default
65914,default
65915,default
65916,default
65917,default
65918,default
65919,default
65920,default
65921,default
65922,default
65923,default
65924,default
65925,default
65926,default
65927,default
65928,default
65929,default
65930,default
65931,default
65932,default
65933,default
65934,default
65935,default
65936,default
65937,default
65938,default
65939,default
65940,default
65941,default
65942,default
65943,default
65944,default
65945,default
65946,default
65947,default
65948,default
65949,default
65950,default
65951,default
65952,default
65953,default
65954,default
65955,default
65956,default
65957,default
65958,default
65959,default
65960,default
65961,default
65962,default
65963,default
65964,default
65965,default
65966,default
65967,default
65968,default
65969,default
65970,default
65971,default
66072,default
66073,default
66074,default
66075,default
66076,default
66077,default
66078,default
66079,default
66080,default
66081,default
66082,default
66083,default
66084,default
66085,default
66086,default
66087,default
66088,default
66089,default
66090,default
66091,default
66092,default
66093,default
66094,default
66095,default
66096,default
66097,default
66098,default
66099,default
66100,default
66101,default
66102,default
66103,default
66104,default
66105,default
66106,default
66107,default
66108,default
66109,default
66110,default
66111,default
66112,default
66113,default
66114,default
66115,default
66116,default
66117,default
66118,default
66119,default
66120,default
66121,default
66122,default
66123,default
66124,default
66125,default
66126,default
66127,default
66128,default
66129,default
66130,default
66131,default
66132,default
66133,default
66134,default
66135,default
66136,default
66137,default
66138,default
66139,default
66140,default
66141,default
66142,default
66143,default
66144,default
66145,default
66146,default
66147,default
66148,default
66149,default
66150,default
66151,default
66152,default
66153,default
66154,default
66155,default
66156,default
66157,default
66158,default
66159,default
66160,default
66161,default
66162,default
66163,default
66164,default
66165,default
66166,default
66167,default
66168,default
66169,default
66170,default
66171,default
66172,default
66173,default
66174,default
66175,default
66176,default
66177,default
66178,default
66179,default
66180,default
66181,default
66182,default
66183,default
66184,default
66185,default
66186,default
66187,default
66188,default
66189,default
66190,default
66191,default
66192,default
66193,default
66194,default
66195,default
66196,default
66197,default
66198,default
66199,default
66200,default
66201,default
66202,default
66203,default
66204,default
66205,default
66206,default
66207,default
66208,default
66209,default
66210,default
66211,default
66212,default
66213,default
66214,default
66215,default
66216,default
66217,default
66218,default
66219,default
66220,default
66221,default
66222,default
66223,default
66224,default
66225,default
66226,default
66227,default
66228,default
66229,default
66230,default
66231,default
66232,default
66233,default
66234,default
66235,default
66236,default
66237,default
66238,default
66239,default
66240,default
66241,default
66242,default
66243,default
66244,default
66245,default
66246,default
66247,default
66248,default
66249,default
66250,default
66251,default
66252,default
66253,default
66254,default
66255,default
66256,default
66257,default
66258,default
66259,default
66260,default
66261,default
66262,default
66263,default
66264,default
66265,default
66266,default
66267,default
66268,default
66269,default
66270,default
66271,default
66272,default
66273,default
66274,default
66372,default
66373,default
66374,default
66375,default
66376,default
66377,default
66378,default
66379,default
